nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
SDU-8,NIST-MATDB-03645c4b39bf449dbc22ac8d02c59f8b,10.1021/Ic3015207,,C54 H36 Cu3 O12 Si1,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
[Co(2)(pyridine)2(H2O)],NIST-MATDB-002415bcd538b26626f2f03e5443f598,10.1039/B927499e,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
NOTT-102a,NIST-MATDB-057c4e880a99e188b6631fbf7739748b,10.1039/C3ee41166d,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
CGUC-0.5-6,NIST-MATDB-06d1ff3ad689defe72c7ca7d38f20302,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-1C',NIST-MATDB-07af26bd81573554d0dfd228787e3e50,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-569,NIST-MATDB-0ae1d3f7faba9b2cff1a6a3c75969fc7,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-235,NIST-MATDB-0f20a425dee706181efa4f16ee04d4dd,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-568,NIST-MATDB-0f2d4c21372cb95de54da9394e8c7523,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
NJU-Bai12,NIST-MATDB-12b0f5d8ac54f1f4864b9e37d09149b5,10.1021/Ic301598n,,(C26 H14 Cu2 O10)n,DICKEH,0.95,1.0,Direct CSD synonym → DICKEH,synonym_match,(C26 H14 Cu2 O10)n,True
NU-125-F1,NIST-MATDB-1b640cdaf885a25b91b8daa3c3416e79,10.1021/Ic500722n,,C24 H12 Cu2 O8,VAMREK,0.75,0.5,Programmatic formula search: C24 H12 Cu2 O8 → VAMREK (stoich conf=0.75),formula_search,"(C36 H18 Cu3 N6 O12)n,4(C4 H9 N1 O1)",True
Co21-MOF-5,NIST-MATDB-1d7283de5a7f43b960a5dd98d52ee542,10.1016/j.electacta.2013.10.190,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Ni-PTC,NIST-MATDB-208b146cc6b69203bfb3949d6fa87837,10.1021/Cm301726k,,C24 H8 Ni3 O8,JEVGEA,0.596,0.5,Programmatic formula search: C24 H8 Ni3 O8 → JEVGEA (stoich conf=0.596),formula_search,"(C24 H12 N3 Ni3 O9 3+)n,3(H1 O1 1-)",True
IFP-1,NIST-MATDB-250f71e77e94593e6e5b0ff516bf35fc,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Zn4O (rho=300kg/m^3),NIST-MATDB-25d294b7f85566e0a4522bc95245bbf8,10.1007/s10450-014-9620-1,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-1M'-Li,NIST-MATDB-2af8e8ffa63fe22e424cc773bf4c5ba4,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
SDU-7,NIST-MATDB-2be8da142933090d1f2b6bc5e697086f,10.1021/Ic3015207,,C72 H42 Cu3 O12 Si1,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IRMOF-1,NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,10.1002/Aic.14467,,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",EDUSIF,0.9,0.9,"IRMOF-1 = Zn4O(BDC)3, classic Yaghi framework, CSD EDUSIF verified",knowledge_match,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",True
NKMOF-8-Br,NIST-MATDB-34c0cfc36c169b1b80b597bcd3df774c,10.1021/acs.jced.1c00787,,C14 H8 Cu4 Br1 N4,MUYNED,0.562,0.5,Programmatic formula search: C14 H8 Cu4 Br1 N4 → MUYNED (stoich conf=0.562),formula_search,"(C28 H14 Br2 Cl6 Cu2 F6 N8)n,0.5(C1 H4 O1)",True
MIL-100V before O2 binding,NIST-MATDB-350037ea824787dfc1e7b3ff59f2a082,10.1016/j.jcis.2015.06.036,,C18 H6 V3 O12,ONAMAT,0.625,0.5,Programmatic formula search: C18 H6 V3 O12 → ONAMAT (stoich conf=0.625),formula_search,(C12 H8 O8 V2)n,False
WV-1050,NIST-MATDB-35609bd6d3323afd4f16231afa50faaa,10.1007/s10450-021-00330-y,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
ZIF-70,NIST-MATDB-360f2ab072a135afc123f12de4ac3cae,10.1007/s10934-015-0060-4,,(C12 H11 N9 O2 Zn2)n,SEPNEJ,0.95,1.0,Direct CSD synonym → SEPNEJ,synonym_match,(C12 H11 N9 O2 Zn2)n,True
WV1050,NIST-MATDB-379eabf2c0360c5c1d4a172186cf72a9,10.1007/s10450-014-9639-3,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
NU-111,NIST-MATDB-3af5f20d8e1a2365aba6693b255f8f68,10.1016/j.energy.2015.08.096,,(C42 H18 Cu3 O15)n,MEHMET,0.95,1.0,Direct CSD synonym → MEHMET,synonym_match,(C42 H18 Cu3 O15)n,True
MIL-101V after O2 binding,NIST-MATDB-3f6300520948b20707f1c4915e564597,10.1016/j.jcis.2015.06.036,,C18 H6 V3 O12,ONAMAT,0.625,0.5,Programmatic formula search: C18 H6 V3 O12 → ONAMAT (stoich conf=0.625),formula_search,(C12 H8 O8 V2)n,False
H1/3[(Co^II13/2(BTB)4(OH)4/3(DMA)3]-2DMA-4H2O,NIST-MATDB-3fcb6a1791c5bc4d3c3626d33b997f2e,10.1039/C2ra22118g,,C52 H28 Co13 O20,OFABAY,0.659,0.5,Programmatic formula search: C52 H28 Co13 O20 → OFABAY (stoich conf=0.659),formula_search,"(C8 H4 Co2 N12 O2)n,2n(C12 H8 N2)",False
Cu-DABCO,NIST-MATDB-4092ca2b1dd76e307308821db726503b,10.1016/j.micromeso.2012.10.025,,C8 H12 Cu1 N2,YOXVIU,0.75,0.5,Programmatic formula search: C8 H12 Cu1 N2 → YOXVIU (stoich conf=0.75),formula_search,(C16 H24 Cu2 N4 O8)n,False
"Zr-2,6-NDC",NIST-MATDB-422f7adc5192d8c50c61d65cfb0367d1,10.1021/acs.iecr.7b03341,,C12 H6 O4 Zr1,XIVTED,0.643,0.5,Programmatic formula search: C12 H6 O4 Zr1 → XIVTED (stoich conf=0.643),formula_search,(C36 H18 N6 O16 Zr3)n,True
PCN-14,NIST-MATDB-491f2d4553a5f70eb3e8a54f967be37f,10.1016/j.energy.2015.08.096,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
